image_id,image_filename,country,source,category,contains_leaf,leaf_visibility,health_observable,usable_for_cropping,notes
BH_094,WhatsApp Image 2025-12-09 at 6.10.31 PM.jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree, far distance"
BH_095,WhatsApp Image 2025-12-09 at 6.10.32 PM (1).jpeg,Bahrain,local_research,B,yes,clear,no,no,"low resolution, whole tree, far distance"
BH_096,WhatsApp Image 2025-12-09 at 6.10.32 PM.jpeg,Bahrain,local_research,A,yes,clear,yes,no,low resolution
BH_097,WhatsApp Image 2025-12-09 at 6.10.33 PM.jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_098,WhatsApp Image 2025-12-09 at 6.10.34 PM (1).jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_099,WhatsApp Image 2025-12-09 at 6.10.34 PM (2).jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_100,WhatsApp Image 2025-12-09 at 6.10.34 PM.jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_101,WhatsApp Image 2025-12-09 at 6.10.35 PM (1).jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_102,WhatsApp Image 2025-12-09 at 6.10.35 PM.jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_103,WhatsApp Image 2025-12-09 at 6.10.36 PM (1).jpeg,Bahrain,local_research,C,yes,partial,no,no,"low resolution, far distance"
BH_104,WhatsApp Image 2025-12-09 at 6.10.36 PM (2).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance, blurry"
BH_105,WhatsApp Image 2025-12-09 at 6.10.36 PM.jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance, blurry"
BH_106,WhatsApp Image 2025-12-09 at 6.10.40 PM (1).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance, blurry"
BH_107,WhatsApp Image 2025-12-09 at 6.10.40 PM.jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance, blurry"
BH_108,WhatsApp Image 2025-12-09 at 6.10.41 PM (1).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance, blurry"
BH_109,WhatsApp Image 2025-12-09 at 6.10.41 PM (2).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance, blurry"
BH_110,WhatsApp Image 2025-12-09 at 6.10.41 PM (3).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_111,WhatsApp Image 2025-12-09 at 6.10.41 PM.jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_112,WhatsApp Image 2025-12-09 at 6.10.42 PM (1).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_113,WhatsApp Image 2025-12-09 at 6.10.42 PM (2).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_114,WhatsApp Image 2025-12-09 at 6.10.42 PM (3).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_115,WhatsApp Image 2025-12-09 at 6.10.42 PM.jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_116,WhatsApp Image 2025-12-09 at 6.10.43 PM (1).jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
BH_117,WhatsApp Image 2025-12-09 at 6.10.43 PM (2).jpeg,Bahrain,local_research,C,yes,clear,yes,no,low resolution
BH_118,WhatsApp Image 2025-12-09 at 6.10.43 PM.jpeg,Bahrain,local_research,C,yes,poor,no,no,"low resolution, far distance"
